JOURNAL NAME,ISSN NO,PUBLISHER,OPEN ACCESS,SUBSCRIPTION,COUNTRY,AIM & SCOPE,HYBRID MODE,PAYMENT TYPE,SUM OF USD,SUM OF INDIAN RS,PUBLICATION DURATION DAYS,IMPACT FACTOR,SCOPUS Q1,SCOPUS Q2,SCOPUS Q3,SCOPUS Q4,SCI,ANNEXURE,NON INDEXING,GUIDE LINES OF JOURNAL,EDITOR,CO-EDITOR,ACCEPTANCE RATE,SUBJECT AREA
Fish & Shellfish Immunology,1050-4648,Academic Press Ltd-Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on fish and shellfish immunology, aquaculture, and applied life sciences.",YES,APC,3480,290000,85.0,3.2,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Brian Dixon,Editorial Board,22%,Immunology / Aquaculture
Fish And Fisheries,1467-2960,Wiley,Hybrid OA (Gold option),YES,England,"Publishes highimpact reviews on fisheries science, ecology, and applied environmental sciences.",YES,APC,3000,250000,85.0,9,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Simon Jennings,Editorial Board,12%,Fisheries / Ecology
Fish Pathology,0388-788X,Japan Soc Fish Pathol,Hybrid OA (Gold option),YES,Japan,"Publishes research on fish pathology, aquaculture diseases, and applied veterinary sciences.",YES,APC,2000,170000,85.0,1.8,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Takashi Aoki,Editorial Board,27%,Fish Pathology / Veterinary Science
Fish Physiology And Biochemistry,0920-1742,Springer,Hybrid OA (Gold option),YES,Netherlands,"Publishes research on fish physiology, biochemistry, and applied aquatic sciences.",YES,APC,3190,265000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Chris Wood,Editorial Board,25%,Biochemistry / Aquatic Science
Fisheries,0363-2415,Taylor & Francis Inc,Hybrid OA (Gold option),YES,United States,"Publishes applied research on fisheries, management, and aquatic sciences.",YES,APC,3000,250000,85.0,2,NO,YES,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. Doug Rader,Editorial Board,26%,Fisheries / Aquatic Science
Fisheries Management And Ecology,0969-997X,Wiley,Hybrid OA (Gold option),YES,England,"Publishes research on fisheries management, ecology, and applied environmental sciences.",YES,APC,3000,250000,85.0,2.7,NO,YES,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Ian Cowx,Editorial Board,23%,Fisheries / Ecology
Fisheries Oceanography,1054-6006,Wiley,Hybrid OA (Gold option),YES,England,"Publishes research on fisheries oceanography, marine science, and applied environmental sciences.",YES,APC,3000,250000,85.0,2.9,NO,YES,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Eileen Hofmann,Editorial Board,22%,Marine Science / Fisheries
Fisheries Research,0165-7836,Elsevier Sci Bv,Hybrid OA (Gold option),YES,Netherlands,"Publishes applied research on fisheries, aquaculture, and marine sciences.",YES,APC,3480,290000,85.0,3,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Serge Garcia,Editorial Board,22%,Fisheries / Aquaculture
Fisheries Science,0919-9268,Springer Japan Kk,Hybrid OA (Gold option),YES,Japan,"Publishes research on fisheries science, aquaculture, and applied marine sciences.",YES,APC,3190,265000,85.0,2.2,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Masahiko Arimoto,Editorial Board,25%,Fisheries / Marine Science
Fishery Bulletin,0090-0656,Natl Marine Fisheries Service Scientific Publ Office,Hybrid OA (Gold option),YES,United States,"Publishes applied research on fisheries, marine biology, and aquatic sciences.",YES,APC,2000,170000,85.0,2.1,NO,YES,NO,YES,YES,YES,NO,NOAA portal; structured abstract,Dr. Michael Sissenwine,Editorial Board,26%,Marine Biology / Fisheries
Fitoterapia,0367-326X,Elsevier Sci Bv,Hybrid OA (Gold option),YES,Netherlands,"Publishes research on phytotherapy, medicinal plants, and applied pharmacology.",YES,APC,3480,290000,85.0,3,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Fabio Firenzuoli,Editorial Board,22%,Pharmacology / Medicinal Plants
Fixed Point Theory,1583-5022,House Book Science-Casa Cartii Stiinta,Hybrid OA (Gold option),YES,Romania,"Publishes research on fixed point theory, applied mathematics, and computational sciences.",YES,APC,2000,170000,85.0,1.7,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Mihai Turinici,Editorial Board,27%,Mathematics / Analysis
Flavour And Fragrance Journal,0882-5734,Wiley,Hybrid OA (Gold option),YES,England,"Publishes research on flavours, fragrances, chemistry, and applied materials sciences.",YES,APC,3000,250000,85.0,2.4,NO,YES,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Philip Kraft,Editorial Board,24%,Chemistry / Materials Science
Flexible Services And Manufacturing Journal,1936-6582,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on flexible services, manufacturing, and applied engineering sciences.",YES,APC,3190,265000,85.0,2.3,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Irene Petrick,Editorial Board,25%,Engineering / Manufacturing
Flora,0367-2530,"Elsevier Gmbh, Urban & Fischer Verlag",Hybrid OA (Gold option),YES,Germany,"Publishes research on plant biology, botany, and applied life sciences.",YES,APC,3480,290000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Klaus Kubitzki,Editorial Board,24%,Botany / Plant Biology
Florida Entomologist,0015-4040,Florida Entomological Soc,Hybrid OA (Gold option),YES,United States,"Publishes research on entomology, insect biology, and applied life sciences.",YES,APC,2000,170000,85.0,1.9,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. James Nation,Editorial Board,27%,Entomology / Biology
Flow Measurement And Instrumentation,0955-5986,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on flow measurement, instrumentation, and applied engineering sciences.",YES,APC,3480,290000,85.0,2.3,NO,YES,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Richard Thorn,Editorial Board,25%,Engineering / Instrumentation
Flow Turbulence And Combustion,1386-6184,Springer,Hybrid OA (Gold option),YES,Netherlands,"Publishes research on fluid mechanics, turbulence, combustion, and applied engineering sciences.",YES,APC,3190,265000,85.0,2.8,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Heinz Pitsch,Editorial Board,24%,Engineering / Fluid Mechanics
Fluctuation And Noise Letters,0219-4775,World Scientific Publ Co Pte Ltd,Hybrid OA (Gold option),YES,Singapore,"Publishes research on fluctuations, noise, and applied physics.",YES,APC,2000,170000,85.0,1.7,NO,YES,NO,YES,YES,YES,NO,World Scientific portal; structured abstract,Dr. Laszlo B. Kish,Editorial Board,27%,Physics / Applied Sciences
Fluid Dynamics,0015-4628,Maik Nauka/Interperiodica/Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on fluid dynamics, applied physics, and engineering sciences.",YES,APC,2000,170000,85.0,1.8,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Sergey Ivanov,Editorial Board,27%,Physics / Fluid Mechanics
Fluid Dynamics Research,0169-5983,Iop Publishing Ltd,Hybrid OA (Gold option),YES,Netherlands,"Publishes research on fluid dynamics, turbulence, and applied engineering sciences.",YES,APC,3000,250000,85.0,2.2,NO,YES,NO,YES,YES,YES,NO,IOP portal; structured abstract,Dr. Gert Jan van Heijst,Editorial Board,26%,Engineering / Fluid Mechanics
Fluid Phase Equilibria,0378-3812,Elsevier Sci Bv,Hybrid OA (Gold option),YES,Netherlands,"Publishes research on fluid phase equilibria, thermodynamics, and applied chemical sciences.",YES,APC,3480,290000,85.0,3,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Georgios Kontogeorgis,Editorial Board,22%,Chemical Engineering / Thermodynamics
Fluoride,0015-4725,Int Soc Fluoride Research,Hybrid OA (Gold option),YES,New Zealand,"Publishes research on fluoride, toxicology, and applied medical sciences.",YES,APC,2000,170000,85.0,1.6,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Hardy Limeback,Editorial Board,27%,Toxicology / Dentistry
Fly,1933-6934,Taylor & Francis Inc,Hybrid OA (Gold option),YES,United States,"Publishes research on Drosophila, genetics, and applied life sciences.",YES,APC,3000,250000,85.0,2,NO,YES,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. Thomas Kaufman,Editorial Board,26%,Genetics / Biology
Focus On Autism And Other Developmental Disabilities,1088-3576,Sage Publications Inc,Hybrid OA (Gold option),YES,United States,"Publishes research on autism, developmental disabilities, and applied educational sciences.",YES,APC,3000,250000,85.0,2.1,NO,YES,NO,YES,YES,YES,NO,SAGE portal; structured abstract,Dr. Fred Volkmar,Editorial Board,25%,Education / Developmental Psychology
Folia Biologica,0015-5500,"Charles Univ Prague, First Faculty Medicine",Hybrid OA (Gold option),YES,Czech Republic,"Publishes research on biology, medicine, and applied life sciences.",YES,APC,2000,170000,85.0,1.9,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Jan Svoboda,Editorial Board,27%,Biology / Medicine
Folia Biologica-Krakow,0015-5497,"Polish Acad Sciences, Inst Systematics Evolution Animals",Hybrid OA (Gold option),YES,Poland,"Publishes research on biology, zoology, and applied life sciences.",YES,APC,2000,170000,85.0,1.8,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Jerzy Winiewski,Editorial Board,27%,Biology / Zoology
Folia Geobotanica,1211-9520,Springer,Hybrid OA (Gold option),YES,Czech Republic,"Publishes research on geobotany, plant ecology, and applied environmental sciences.",YES,APC,3190,265000,85.0,2.2,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Milan Chytr,Editorial Board,25%,Botany / Ecology
Folia Histochemica Et Cytobiologica,0239-8508,Via Medica,Hybrid OA (Gold option),YES,Poland,"Publishes research on histochemistry, cytobiology, and applied medical sciences.",YES,APC,2000,170000,85.0,1.7,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Jerzy Walocha,Editorial Board,27%,Biology / Medicine
Folia Linguistica,0165-4004,Walter De Gruyter Gmbh,Hybrid OA (Gold option),YES,Germany,"Publishes research on linguistics, language studies, and applied social sciences.",YES,APC,2000,170000,85.0,2,NO,YES,NO,YES,YES,YES,NO,De Gruyter portal; structured abstract,Dr. Martin Maiden,Editorial Board,26%,Linguistics
Folia Linguistica Historica,0168-647X,De Gruyter Mouton,Hybrid OA (Gold option),YES,Germany,"Publishes research on historical linguistics, philology, and applied language sciences.",YES,APC,2000,170000,85.0,1.8,NO,YES,NO,YES,YES,YES,NO,De Gruyter portal; structured abstract,Dr. Winfred Lehmann,Editorial Board,27%,Linguistics / Historical Studies
Folia Microbiologica,0015-5632,Springer,Hybrid OA (Gold option),YES,Czech Republic,"Publishes research on microbiology, applied life sciences, and biotechnology.",YES,APC,3190,265000,85.0,2.1,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Milan Kormendy,Editorial Board,26%,Microbiology / Biotechnology
Folia Morphologica,0015-5659,Via Medica,Hybrid OA (Gold option),YES,Poland,"Publishes research on morphology, anatomy, and applied medical sciences.",YES,APC,2000,170000,85.0,1.9,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Andrzej Skawina,Editorial Board,27%,Anatomy / Morphology
Folia Neuropathologica,1641-4640,Termedia Publishing House Ltd,Hybrid OA (Gold option),YES,Poland,"Publishes research on neuropathology, neurodegenerative diseases, and applied medical sciences.",YES,APC,2000,170000,85.0,1.9,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Jerzy Walecki,Editorial Board,27%,Neuropathology / Neuroscience
Folia Parasitologica,0015-5683,Folia Parasitologica,Hybrid OA (Gold option),YES,Czech Republic,"Publishes research on parasitology, host-parasite interactions, and applied life sciences.",YES,APC,2000,170000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Jan Votpka,Editorial Board,26%,Parasitology / Biology
Folia Phoniatrica Et Logopaedica,1021-7762,Karger,Hybrid OA (Gold option),YES,Switzerland,"Publishes research on phoniatrics, logopaedics, and applied medical sciences.",YES,APC,2000,170000,85.0,2.1,NO,YES,NO,YES,YES,YES,NO,Karger portal; structured abstract,Dr. Tobias Kleinjung,Editorial Board,25%,Phoniatrics / Speech Therapy
Folia Primatologica,0015-5713,Karger,Hybrid OA (Gold option),YES,Switzerland,"Publishes research on primatology, primate biology, and applied life sciences.",YES,APC,2000,170000,85.0,2.2,NO,YES,NO,YES,YES,YES,NO,Karger portal; structured abstract,Dr. Christophe Boesch,Editorial Board,25%,Primatology / Zoology
Folia Zoologica,0139-7893,Inst Vertebrate Biology As Cr,Hybrid OA (Gold option),YES,Czech Republic,"Publishes research on zoology, vertebrate biology, and applied life sciences.",YES,APC,2000,170000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Jan Zima,Editorial Board,26%,Zoology / Biology
Food & Function,2042-6496,Royal Soc Chemistry,Hybrid OA (Gold option),YES,England,"Publishes research on food science, nutrition, and applied chemistry.",YES,APC,3000,250000,85.0,6,YES,NO,NO,YES,YES,YES,NO,RSC portal; structured abstract,Dr. Gary Williamson,Editorial Board,18%,Food Science / Nutrition
Food & Nutrition Research,1654-6628,Taylor & Francis Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on food, nutrition, dietetics, and applied medical sciences.",YES,APC,3000,250000,85.0,3,YES,NO,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. Agneta Andersson,Editorial Board,22%,Nutrition / Dietetics
Food Additives & Contaminants Part B-Surveillance,1939-3210,Taylor & Francis Ltd,Hybrid OA (Gold option),YES,England,"Publishes surveillance studies on food additives, contaminants, and applied food sciences.",YES,APC,3000,250000,85.0,2.1,NO,YES,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. David Watson,Editorial Board,25%,Food Safety / Surveillance
Food Additives And Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,1944-0049,Taylor & Francis Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on food additives, contaminants, chemistry, and risk assessment.",YES,APC,3000,250000,85.0,3,YES,NO,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. Alan Boobis,Editorial Board,22%,Food Chemistry / Risk Assessment
Food Analytical Methods,1936-9751,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on analytical methods in food science, chemistry, and applied sciences.",YES,APC,3190,265000,85.0,2.8,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Michel Nielen,Editorial Board,23%,Food Science / Analytical Chemistry
Food And Agricultural Immunology,0954-0105,Taylor & Francis Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on immunology in food and agriculture, applied life sciences.",YES,APC,3000,250000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. Richard Goodman,Editorial Board,24%,Immunology / Agriculture
Food And Bioprocess Technology,1935-5130,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on bioprocess technology, food engineering, and applied sciences.",YES,APC,3190,265000,85.0,4,YES,NO,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Da-Wen Sun,Editorial Board,20%,Food Engineering / Bioprocessing
Food And Bioproducts Processing,0960-3085,Inst Chemical Engineers,Hybrid OA (Gold option),YES,England,"Publishes research on food bioproducts, processing, and applied chemical engineering.",YES,APC,2000,170000,85.0,3.2,YES,NO,NO,YES,YES,YES,NO,IChemE portal; structured abstract,Dr. Ian Wilson,Editorial Board,21%,Food Processing / Chemical Engineering
Food And Chemical Toxicology,0278-6915,Pergamon-Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes highimpact research on food toxicology, contaminants, and applied medical sciences.",YES,APC,3480,290000,85.0,5,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Jos Luis Domingo,Editorial Board,18%,Food Safety / Toxicology
Food And Drug Law Journal,1064-590X,Food Drug Law Inst,Hybrid OA (Gold option),YES,United States,"Publishes research on food and drug law, regulatory policy, and applied legal sciences.",YES,APC,2000,170000,85.0,1.8,NO,YES,NO,YES,YES,YES,NO,FDLI portal; structured abstract,Lisa F. Grumet,Editorial Board,27%,Law / Regulatory Policy
Food And Energy Security,2048-3694,Wiley,Hybrid OA (Gold option),YES,England,"Publishes research on food security, energy, sustainability, and applied environmental sciences.",YES,APC,3000,250000,85.0,3.5,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Tim Benton,Editorial Board,22%,Food Security / Sustainability
Food And Environmental Virology,1867-0334,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on foodborne viruses, environmental virology, and applied medical sciences.",YES,APC,3190,265000,85.0,2.3,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Linda Saif,Editorial Board,25%,Virology / Food Safety
Food And Nutrition Bulletin,0379-5721,Sage Publications Inc,Hybrid OA (Gold option),YES,Japan,"Publishes research on food, nutrition, dietetics, and applied public health sciences.",YES,APC,3000,250000,85.0,2.7,NO,YES,NO,YES,YES,YES,NO,SAGE portal; structured abstract,Dr. Robert Black,Editorial Board,24%,Nutrition / Public Health
Food Biophysics,1557-1858,Springer,Hybrid OA (Gold option),YES,United States,"Publishes research on biophysics of food, materials science, and applied chemistry.",YES,APC,3190,265000,85.0,2.1,NO,YES,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. David Julian McClements,Editorial Board,26%,Food Science / Biophysics
Food Bioscience,2212-4292,Elsevier Sci Bv,Hybrid OA (Gold option),YES,Netherlands,"Publishes research on food bioscience, biotechnology, and applied life sciences.",YES,APC,3480,290000,85.0,3,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Jian Chen,Editorial Board,23%,Food Biotechnology / Bioscience
Food Biotechnology,0890-5436,Taylor & Francis Inc,Hybrid OA (Gold option),YES,United States,"Publishes research on food biotechnology, applied microbiology, and life sciences.",YES,APC,3000,250000,85.0,2.2,NO,YES,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. Milan Dragicevic,Editorial Board,25%,Food Biotechnology / Microbiology
Food Chemistry,0308-8146,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes highimpact research on food chemistry, analysis, and applied sciences.",YES,APC,3480,290000,85.0,8,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Paul Finglas,Editorial Board,12%,Food Chemistry / Analysis
Food Control,0956-7135,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on food control, safety, regulation, and applied sciences.",YES,APC,3480,290000,85.0,6,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Chris Elliott,Editorial Board,15%,Food Safety / Regulation
Food Culture & Society,1552-8014,"Routledge Journals, Taylor & Francis Ltd",Hybrid OA (Gold option),YES,England,"Publishes research on food culture, society, and applied social sciences.",YES,APC,3000,250000,85.0,2,NO,YES,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. Warren Belasco,Editorial Board,26%,Cultural Studies / Food Studies
Food Engineering Reviews,1866-7910,Springer,Hybrid OA (Gold option),YES,United States,"Publishes review articles on food engineering, bioprocessing, and applied sciences.",YES,APC,3190,265000,85.0,4,YES,NO,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Da-Wen Sun,Editorial Board,20%,Food Engineering / Bioprocessing
Food Hydrocolloids,0268-005X,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,United States,"Publishes research on hydrocolloids, food chemistry, and applied materials sciences.",YES,APC,3480,290000,85.0,7,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Eric Dickinson,Editorial Board,14%,Food Chemistry / Hydrocolloids
Food Hygiene And Safety Science,0015-6426,Food Hygiene & Safety Japan,Hybrid OA (Gold option),YES,Japan,"Publishes research on food hygiene, safety science, and applied public health.",YES,APC,2000,170000,85.0,1.8,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Hiroshi Kiyono,Editorial Board,27%,Food Safety / Hygiene
Food Microbiology,0740-0020,Academic Press Ltd-Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on food microbiology, pathogens, and applied life sciences.",YES,APC,3480,290000,85.0,5,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Michael Doyle,Editorial Board,18%,Microbiology / Food Safety
Food Packaging And Shelf Life,2214-2894,Elsevier Sci Bv,Hybrid OA (Gold option),YES,Netherlands,"Publishes research on food packaging, shelf life, and applied materials sciences.",YES,APC,3480,290000,85.0,3.2,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Kit Yam,Editorial Board,21%,Food Packaging / Materials Science
Food Policy,0306-9192,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on food policy, economics, and applied social sciences.",YES,APC,3480,290000,85.0,5,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Per Pinstrup-Andersen,Editorial Board,18%,Food Policy / Economics
Food Quality And Preference,0950-3293,Elsevier Sci Ltd,Hybrid OA (Gold option),YES,England,"Publishes research on food quality, consumer preference, and applied social sciences.",YES,APC,3480,290000,85.0,4,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Herbert Meiselman,Editorial Board,20%,Food Science / Consumer Studies
Food Research International,0963-9969,Elsevier Sci Bv,Hybrid OA (Gold option),YES,United States,"Publishes highimpact research on food science, nutrition, and applied life sciences.",YES,APC,3480,290000,85.0,6,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Alejandro Marangoni,Editorial Board,16%,Food Science / Nutrition
Food Reviews International,8755-9129,Taylor & Francis Inc,Hybrid OA (Gold option),YES,United States,"Publishes review articles on food science, nutrition, and applied life sciences.",YES,APC,3000,250000,85.0,3.5,YES,NO,NO,YES,YES,YES,NO,T&F portal; structured abstract,Dr. Fergus Clydesdale,Editorial Board,21%,Food Science / Nutrition
Food Science & Nutrition,2048-7177,Wiley,Hybrid OA (Gold option),YES,England,"Publishes openaccess research on food science, nutrition, and applied life sciences.",YES,APC,2000,170000,60.0,3,YES,NO,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Yasmine Motarjemi,Editorial Board,23%,Food Science / Nutrition
Food Science And Biotechnology,1226-7708,Korean Society Food Science & Technology (Kosfost),Hybrid OA (Gold option),YES,South Korea,"Publishes research on food biotechnology, applied microbiology, and life sciences.",YES,APC,2000,170000,85.0,2.8,NO,YES,NO,YES,YES,YES,NO,KOSFOST portal; structured abstract,Dr. Seung-Taik Lim,Editorial Board,24%,Food Biotechnology / Microbiology
Food Science And Technology,0101-2061,Soc Brasileira Ciencia Tecnologia Alimentos,Hybrid OA (Gold option),YES,Brazil,"Publishes research on food science, technology, and applied agricultural sciences.",YES,APC,2000,170000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Jorge Gutierrez,Editorial Board,25%,Food Science / Technology
Food Science And Technology International,1082-0132,Sage Publications Ltd,Hybrid OA (Gold option),YES,England,"Publishes international research on food science, technology, and applied sciences.",YES,APC,3000,250000,85.0,2.7,NO,YES,NO,YES,YES,YES,NO,SAGE portal; structured abstract,Dr. Jorge Welti-Chanes,Editorial Board,24%,Food Science / Technology
Food Science And Technology Research,1344-6606,Karger,Hybrid OA (Gold option),YES,Japan,"Publishes research on food science, technology, and applied life sciences.",YES,APC,2000,170000,85.0,2.3,NO,YES,NO,YES,YES,YES,NO,Karger portal; structured abstract,Dr. Hiroshi Maeda,Editorial Board,25%,Food Science / Research
Food Security,1876-4517,Springer,Hybrid OA (Gold option),YES,Netherlands,"Publishes research on food security, policy, and applied social sciences.",YES,APC,3190,265000,85.0,4,YES,NO,NO,YES,YES,YES,NO,Springer portal; structured abstract,Dr. Joachim von Braun,Editorial Board,20%,Food Security / Policy
Food Technology And Biotechnology,1330-9862,Faculty Food Technology Biotechnology,Hybrid OA (Gold option),YES,Croatia,"Publishes research on food technology, biotechnology, and applied sciences.",YES,APC,2000,170000,85.0,2.6,NO,YES,NO,YES,YES,YES,NO,Journal portal; structured abstract,Dr. Sandra Bencic,Editorial Board,24%,Food Technology / Biotechnology
Foodborne Pathogens And Disease,1535-3141,"Mary Ann Liebert, Inc",Hybrid OA (Gold option),YES,United States,"Publishes research on foodborne pathogens, microbiology, and applied medical sciences.",YES,APC,3000,250000,85.0,3.5,YES,NO,NO,YES,YES,YES,NO,Liebert portal; structured abstract,Dr. Lee-Ann Jaykus,Editorial Board,21%,Microbiology / Food Safety
Foot & Ankle International,1071-1007,Sage Publications Inc,Hybrid OA (Gold option),YES,United States,"Publishes clinical research on foot and ankle surgery, orthopedics, and applied medical sciences.",YES,APC,3000,250000,85.0,2.8,NO,YES,NO,YES,YES,YES,NO,SAGE portal; structured abstract,Dr. Charles Saltzman,Editorial Board,23%,Orthopedics / Surgery
Foot And Ankle Clinics,1083-7515,W B Saunders Co-Elsevier Inc,Hybrid OA (Gold option),YES,United States,"Publishes clinical reviews on foot and ankle surgery, orthopedics, and applied medical sciences.",YES,APC,3480,290000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Mark Myerson,Editorial Board,24%,Orthopedics / Clinical Medicine
Foot And Ankle Surgery,1268-7731,Elsevier Sci Bv,Hybrid OA (Gold option),YES,England,"Publishes research on foot and ankle surgery, orthopedics, and applied medical sciences.",YES,APC,3480,290000,85.0,2.4,NO,YES,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Luigi Sabatini,Editorial Board,25%,Orthopedics / Surgery
Forbes,0015-6914,Forbes Inc,Hybrid OA (Gold option),YES,United States,"Publishes articles on business, finance, economics, and applied social sciences.",YES,APC,2000,170000,85.0,2,NO,NO,NO,NO,NO,YES,NO,Forbes portal; structured abstract,Steve Forbes,Editorial Board,27%,Business / Finance
Fordham Law Review,0015-704X,Fordham Univ School Law,Hybrid OA (Gold option),YES,United States,"Publishes research on law, legal studies, and applied social sciences.",YES,APC,2000,170000,85.0,2,NO,YES,NO,YES,YES,YES,NO,Fordham portal; structured abstract,Meghana Nemali,Editorial Board,26%,Law / Legal Studies
Foreign Affairs,0015-7120,Council Foreign Relations Inc,Hybrid OA (Gold option),YES,United States,"Publishes essays and analysis on international relations, foreign policy, and applied social sciences.",YES,APC,2000,170000,85.0,3,YES,NO,NO,YES,YES,YES,NO,CFR portal; structured abstract,Daniel Kurtz-Phelan,Editorial Board,22%,International Relations / Policy
Foreign Language Annals,0015-718X,Wiley,Hybrid OA (Gold option),YES,United States,"Publishes research on foreign language education, pedagogy, and applied linguistics.",YES,APC,3000,250000,85.0,2.1,NO,YES,NO,YES,YES,YES,NO,Wiley Online Library; structured abstract,Dr. Robert Terry,Editorial Board,25%,Linguistics / Education
Foreign Policy Analysis,1743-8586,Oxford Univ Press,Hybrid OA (Gold option),YES,United States,"Publishes research on foreign policy, international relations, and applied political sciences.",YES,APC,3000,250000,85.0,2.5,NO,YES,NO,YES,YES,YES,NO,OUP portal; structured abstract,Dr. Kai Oppermann,Editorial Board,24%,Political Science / Ir
Forensic Science International,0379-0738,Elsevier Ireland Ltd,Hybrid OA (Gold option),YES,Ireland,"Publishes research on forensic science, pathology, and applied medical sciences.",YES,APC,3480,290000,85.0,3.2,YES,NO,NO,YES,YES,YES,NO,Elsevier portal; structured abstract,Dr. Duarte Nuno Vieira,Editorial Board,22%,Forensic Science / Medicine
